id	ALPHA_J2000	DELTA_J2000	FLUX_RADIUS	CLASS_STAR	fitclass	Z_B	Z_B_MIN	Z_B_MAX	T_B	star_flag	MAG_u	MAG_g	MAG_r	MAG_i	MAG_y	MAG_z
W1m4p1_129079	31.09863061	-5.894986552	2.59683	0.385742	0	0.56	0.28	0.765	3.455	0	23.0049	22.5627	21.8683	21.4668	-99.0	21.2633
W1m4p1_129092	30.20166707	-5.895507941	4.00207	0.0283824	0	0.51	0.312	0.708	2.818	0	23.0792	22.4936	21.5818	21.1181	-99.0	20.8786
W1m4p1_129103	30.94642743	-5.894600784	2.88928	0.0370414	0	0.21	0.01	0.41	3.545	0	23.7315	23.0088	22.5111	22.3241	-99.0	22.2792
W1m4p1_129106	31.13363501	-5.895699518	4.16764	0.0284381	0	0.5	0.303	0.697	2.636	0	23.2034	22.5363	21.6039	21.1272	-99.0	20.8902
W1m4p1_129183	30.78015024	-5.894630932	3.44395	0.225929	0	0.63	0.416	0.844	1.091	0	26.8105	24.6419	23.2531	22.067	-99.0	21.6131
W1m4p1_129202	30.27291351	-5.894140852	3.71881	0.0154307	0	0.86	0.616	1.53	3.545	0	23.7287	23.4544	23.1658	22.4573	-99.0	22.1105
W1m4p1_129234	30.79498676	-5.894389342	2.91231	0.059761	0	0.7	0.477	0.923	1.818	0	24.4668	23.6134	22.568	21.6352	-99.0	21.3423
W1m4p1_129245	30.5412917	-5.893648394	2.46141	0.131725	0	0.71	0.485	0.98	3.727	0	23.8037	23.5521	23.0733	22.4721	-99.0	22.3418
W1m4p1_129271	30.83525897	-5.894364863	5.0431	0.020622	0	0.3	0.01	0.471	3.818	0	22.5325	21.9579	21.4571	21.4222	-99.0	21.0656
W1m4p1_129276	31.0332427	-5.894163661	3.16493	0.0286803	0	0.44	0.24	0.65	3.545	0	23.1996	22.7398	22.0644	21.6909	-99.0	21.6224
W1m4p1_129277	30.43484271	-5.894221889	3.95707	0.0230346	0	0.16	0.0080	0.32	3.636	0	23.2967	22.5153	22.1806	21.9484	-99.0	21.9538
W1m4p1_129280	30.39556724	-5.894151754	4.96966	0.0131228	0	0.53	0.329	0.731	1.273	0	25.7152	24.0247	22.9822	21.9821	-99.0	21.7795
W1m4p1_129281	30.64831796	-5.89527336	4.71932	0.0178823	0	0.48	0.286	0.674	3.091	0	23.6552	23.168	22.2588	21.8244	-99.0	21.6971
W1m4p1_129296	30.31760662	-5.89394917	4.67039	4.09626E-4	0	0.99	0.729	1.35	3.545	0	23.2346	23.1667	22.8442	22.2438	-99.0	21.7876
W1m4p1_129299	30.60633966	-5.894418074	4.13156	0.0214984	0	0.79	0.555	1.025	2.909	0	23.8348	23.3052	22.7259	21.8892	-99.0	21.5753
W1m4p1_129310	30.2545489	-5.893304383	2.65613	0.156272	0	0.82	0.581	1.52	4.0	0	23.2176	23.0801	22.8049	22.3054	-99.0	22.0657
W1m4p1_129337	30.77584701	-5.894028089	2.63345	0.783067	0	0.63	0.416	0.844	1.0	0	26.1441	23.8098	22.3513	21.0225	-99.0	20.6371
W1m4p1_129367	30.88363484	-5.89307308	2.86687	0.0269011	0	0.84	0.598	1.53	3.455	0	23.851	23.5213	23.1763	22.4455	-99.0	22.1517
W1m4p1_129377	31.09550689	-5.893785538	2.8263	0.198633	0	0.57	0.364	0.776	1.182	0	25.0915	23.3642	21.993	20.9089	-99.0	20.68
W1m4p1_129378	31.14555089	-5.893010404	3.73628	0.022273	0	0.75	0.52	1.02	3.273	0	23.7647	23.4123	22.8489	22.074	-99.0	21.8513
W1m4p1_129392	30.21577038	-5.893299008	3.34303	0.0280872	0	0.47	0.277	0.663	3.455	0	23.2808	22.8703	22.0786	21.7331	-99.0	21.6473
W1m4p1_129403	31.00441971	-5.895272443	5.10809	0.028066	0	0.25	0.01	0.414	2.091	0	23.142	22.0472	21.4324	20.9607	-99.0	20.714
W1m4p1_129404	30.62440094	-5.893986305	4.30072	0.0209676	0	0.73	0.503	0.957	2.636	0	24.0056	23.353	22.7184	21.8333	-99.0	21.6058
W1m4p1_129413	30.3689023	-5.892828549	3.34601	0.0245346	0	0.11	0.0	0.28	2.727	0	23.9415	22.9545	22.5506	22.2543	-99.0	22.199
W1m4p1_129456	30.31669904	-5.893150954	2.81619	0.0431846	0	0.7	0.477	0.923	2.364	0	23.9839	23.3506	22.5066	21.7343	-99.0	21.4001
W1m4p1_129513	30.63699863	-5.892857541	3.04307	0.0286631	0	0.72	0.494	0.96	3.091	0	23.6702	23.1214	22.5626	21.8184	-99.0	21.5451
W1m4p1_129544	30.93578765	-5.892501451	2.61509	0.154524	0	0.42	0.23	0.62	3.455	0	23.3631	22.8841	22.1539	21.8465	-99.0	21.7626
W1m4p1_129577	30.90489205	-5.892334473	3.07991	0.033582	0	0.42	0.234	0.73	3.727	0	23.7598	23.3587	22.7929	22.473	-99.0	22.2414
W1m4p1_129596	30.586164	-5.892174578	3.76468	0.0279035	0	0.2	0.01	0.36	2.818	0	23.3161	22.4265	21.9369	21.5545	-99.0	21.4144
W1m4p1_129659	31.00331345	-5.892231579	2.96297	0.0413855	0	0.26	0.02	0.44	2.818	0	23.2309	22.4142	21.7533	21.4509	-99.0	21.2776
W1m4p1_129674	30.32151892	-5.892072794	3.71399	0.0271854	0	0.85	0.607	1.093	1.818	0	24.4128	23.7829	22.8407	21.7271	-99.0	21.3029
W1m4p1_129687	30.88934879	-5.891985439	2.87282	0.0312355	0	0.83	0.59	1.07	1.091	0	26.7575	25.3148	23.4918	22.1308	-99.0	21.3005
W1m4p1_129697	31.05849679	-5.891820884	3.72112	0.0272192	0	0.77	0.538	1.3	3.455	0	23.2513	22.8344	22.4819	21.7028	-99.0	21.5529
W1m4p1_129705	30.88493423	-5.891471998	3.11034	0.0273849	0	0.72	0.494	1.43	3.545	0	23.5717	23.2672	22.7557	22.1585	-99.0	21.9087
W1m4p1_129723	30.9395571	-5.891537636	2.95136	0.0281825	0	0.76	0.529	1.05	3.0	0	23.8856	23.2561	22.7518	21.9745	-99.0	21.6455
W1m4p1_129748	31.01637311	-5.891750721	2.79253	0.0609072	0	0.2	0.01	0.358	2.818	0	23.3686	22.4743	21.9581	21.5752	-99.0	21.488
W1m4p1_129782	30.61662771	-5.892690604	5.55484	0.027149	0	0.86	0.616	1.104	2.636	0	22.9593	22.4969	22.0187	20.9863	-99.0	20.6593
W1m4p1_129790	30.7240691	-5.891378082	3.28419	0.0252403	0	0.32	0.147	0.69	3.091	0	24.2417	23.6019	22.9591	22.4744	-99.0	22.2996
W1m4p1_129796	30.52287889	-5.891755487	5.63513	4.42103E-4	0	0.88	0.633	1.31	3.455	0	23.0069	22.7862	22.4864	21.6932	-99.0	21.3213
W1m4p1_129821	30.7479078	-5.891322145	3.15883	0.0642149	0	0.77	0.538	1.002	1.909	0	24.0603	23.1813	22.3454	21.3359	-99.0	20.957
W1m4p1_129829	30.38584952	-5.891252302	3.82396	0.0289487	0	0.68	0.459	0.901	2.0	0	24.679	23.8118	22.8154	21.9921	-99.0	21.6679
W1m4p1_129841	30.76340201	-5.891252238	4.26135	0.0147137	0	0.72	0.494	0.96	2.909	0	24.2718	23.8531	23.0956	22.3423	-99.0	22.0604
W1m4p1_129891	30.68553522	-5.892930848	3.88643	0.0281361	0	0.57	0.364	0.776	1.182	0	25.5652	23.9009	22.3508	21.4343	-99.0	20.9734
W1m4p1_129927	30.56539434	-5.890335131	2.39255	0.844555	0	0.23	0.068	0.43	1.0	0	25.6343	23.8674	23.0036	22.3439	-99.0	22.1164
