id	ALPHA_J2000	DELTA_J2000	FLUX_RADIUS	CLASS_STAR	fitclass	Z_B	Z_B_MIN	Z_B_MAX	T_B	star_flag	MAG_u	MAG_g	MAG_r	MAG_i	MAG_y	MAG_z
W1m0p3_170615	34.3025761	-3.790145149	3.29832	0.0258705	0	0.77	0.538	1.002	1.273	0	25.708	24.6422	23.4409	22.1593	-99.0	21.6171
W1m0p3_170641	34.28932497	-3.790133989	3.73897	0.0273755	0	0.74	0.512	0.968	1.364	0	25.1045	23.9809	22.841	21.7244	-99.0	21.1433
W1m0p3_170690	34.61709779	-3.789754938	2.97731	0.30873	0	0.58	0.373	0.787	1.182	0	25.7404	24.2253	22.8616	21.9358	-99.0	21.4365
W1m0p3_170724	34.88036836	-3.789666726	3.64734	0.0923386	0	0.72	0.494	0.946	1.364	0	25.8721	24.6648	23.5598	22.4346	-99.0	21.9219
W1m0p3_171180	34.31790789	-3.786976594	3.94497	0.0280513	0	0.58	0.373	0.787	1.182	0	25.3694	23.7962	22.3372	21.4069	-99.0	20.9232
W1m0p3_171201	34.0982416	-3.787863899	3.11731	0.081254	0	0.55	0.346	0.754	1.273	0	24.1326	22.7807	21.4072	20.5074	-99.0	20.2123
W1m0p3_171224	34.42213666	-3.786540225	3.45865	0.0472109	0	0.87	0.624	1.116	1.0	0	99.0	25.7709	23.6803	22.332	-99.0	21.4602
W1m0p3_171336	34.55597634	-3.78592788	3.04983	0.156826	0	0.92	0.668	1.172	1.091	0	25.4243	24.4535	22.6669	21.4049	-99.0	20.5315
W1m0p3_171444	34.85444046	-3.785224009	3.3331	0.0376127	0	0.73	0.503	0.957	1.455	0	25.4675	24.3093	23.3229	22.172	-99.0	21.6955
W1m0p3_171598	34.41270409	-3.784972749	3.75778	0.0287644	0	0.33	0.155	0.505	1.364	0	24.2538	22.8928	21.7217	21.1528	-99.0	20.9445
W1m0p3_171733	34.30650255	-3.784540891	3.00094	0.423462	0	0.25	0.086	0.44	1.091	0	23.947	22.3691	21.2693	20.7783	-99.0	20.4263
W1m0p3_171768	34.13428498	-3.783544737	3.89005	0.0136676	0	1.46	0.85	1.783	1.364	0	24.921	24.1122	23.633	22.4551	-99.0	21.7923
W1m0p3_171843	34.22402053	-3.783990571	3.89322	0.0288044	0	0.59	0.381	0.799	1.182	0	25.429	23.8846	22.3751	21.3504	-99.0	21.0457
W1m0p3_172160	34.42075139	-3.781112213	3.44409	0.0237457	0	0.67	0.451	0.889	1.273	0	26.0215	24.8614	23.492	22.4218	-99.0	22.0325
W1m0p3_172166	34.21100347	-3.781097288	2.88748	0.476538	0	0.26	0.095	0.45	1.455	0	24.2708	22.9459	22.0213	21.4963	-99.0	21.2807
W1m0p3_172257	34.51931506	-3.780311467	3.50365	0.0509184	0	0.83	0.59	1.07	1.182	0	25.442	24.4624	22.9649	21.6014	-99.0	20.9939
W1m0p3_172269	34.30923141	-3.780229963	3.00637	0.0964758	0	0.49	0.294	0.686	1.273	0	25.5944	24.0472	22.7157	22.0153	-99.0	21.5812
W1m0p3_172419	34.26255651	-3.779761324	3.43916	0.0387822	0	0.7	0.477	0.923	1.364	0	25.1958	24.2324	22.8273	21.607	-99.0	21.3977
W1m0p3_172485	34.96169963	-3.778972491	3.17726	0.0386696	0	0.24	0.077	0.45	1.091	0	24.6242	22.9975	22.0175	21.4286	-99.0	21.1299
W1m0p3_172582	34.71264377	-3.778499582	3.08603	0.0756305	0	0.56	0.355	0.765	1.091	0	26.6645	24.341	22.9723	21.9374	-99.0	21.5485
W1m0p3_173045	34.29438337	-3.775841168	3.45929	0.0558303	0	0.49	0.294	0.686	1.0	0	26.3819	23.9107	22.6669	21.6	-99.0	21.2562
W1m0p3_173170	34.88739215	-3.774724732	3.28777	0.0604171	0	0.49	0.294	0.686	1.0	0	26.754	24.2499	22.819	21.9342	-99.0	21.4822
W1m0p3_173273	34.90780769	-3.774469739	3.05542	0.118897	0	0.26	0.095	0.425	1.0	0	24.9313	23.2018	22.1016	21.5314	-99.0	21.3815
W1m0p3_173283	34.08253197	-3.775671548	4.2542	0.0289398	0	0.68	0.459	0.901	1.273	0	24.3615	22.9962	21.7801	20.5599	-99.0	20.1836
W1m0p3_173289	34.74033403	-3.773966783	4.46157	0.064624	0	0.8	0.564	1.036	1.0	0	27.124	25.3138	23.4711	22.2173	-99.0	21.3438
W1m0p3_173712	34.31814059	-3.771660587	2.86464	0.417775	0	0.64	0.425	0.855	1.182	0	25.9208	24.3855	22.8712	21.7663	-99.0	21.4083
W1m0p3_173767	34.32032169	-3.771633142	3.16621	0.0336639	0	0.5	0.303	0.697	1.091	0	26.2292	24.2501	22.769	21.9796	-99.0	21.4841
W1m0p3_173823	34.68567825	-3.771986842	2.79905	0.866605	0	0.47	0.277	0.663	1.091	0	25.3335	23.5338	22.0557	21.2662	-99.0	20.8266
W1m0p3_173935	34.50963814	-3.770969569	3.75914	0.0272979	0	0.58	0.373	0.787	1.0	0	27.2528	24.5199	23.3314	22.113	-99.0	21.693
W1m0p3_174383	34.82187489	-3.768271254	2.84473	0.666176	0	0.63	0.416	0.844	1.091	0	25.7071	23.972	22.439	21.3749	-99.0	20.9036
W1m0p3_174599	34.07753573	-3.76745498	3.75789	0.0283917	0	0.65	0.433	0.867	1.091	0	25.8085	23.9944	22.3935	21.3739	-99.0	20.7834
W1m0p3_174785	34.23463819	-3.766541145	3.36268	0.0402174	0	0.58	0.373	0.787	1.182	0	25.19	23.7169	22.2333	21.2949	-99.0	20.9052
W1m0p3_174844	34.74590353	-3.766066583	3.02802	0.286437	0	0.63	0.416	0.844	1.0	0	26.5489	24.0067	22.4546	21.1876	-99.0	20.8003
W1m0p3_174893	34.72003035	-3.765097574	2.92387	0.0933099	0	0.49	0.294	0.686	1.455	0	25.3802	24.0902	22.786	22.144	-99.0	21.7468
W1m0p3_175270	34.85182765	-3.763097405	3.821	0.0240285	0	0.83	0.59	1.07	1.273	0	25.5656	24.7633	23.2473	21.9685	-99.0	21.4431
W1m0p3_175350	34.74660739	-3.763415006	3.78881	0.0419211	0	0.88	0.633	1.15	1.091	0	25.7547	24.76	23.1403	21.7892	-99.0	21.0422
W1m0p3_175374	34.30419002	-3.762338661	3.13694	0.172166	0	0.56	0.355	0.765	1.182	0	26.4212	24.6019	23.2404	22.2488	-99.0	21.8546
W1m0p3_175496	34.79454552	-3.763098596	3.70978	0.0289924	0	0.93	0.677	1.29	1.455	0	24.3616	23.7379	22.7239	21.5749	-99.0	20.8522
W1m0p3_175509	34.57931573	-3.762267314	3.21884	0.0851765	0	0.56	0.355	0.765	1.091	0	25.3483	23.5618	22.131	21.1169	-99.0	20.7315
W1m0p3_175597	34.85568843	-3.762017871	3.72044	0.0315336	0	0.44	0.24	0.629	1.364	0	24.1618	22.7111	21.505	20.9127	-99.0	20.4964
W1m0p3_175616	34.49650685	-3.761737892	3.5455	0.0320072	0	0.64	0.425	0.855	1.091	0	25.6553	23.8282	22.2582	21.1445	-99.0	20.6997
W1m0p3_175705	34.24537561	-3.761118239	3.18484	0.0698405	0	0.64	0.425	0.855	1.273	0	24.7955	23.5841	22.173	21.1651	-99.0	20.7708
W1m0p3_175706	34.62267711	-3.761687214	4.29993	0.0293872	0	0.82	0.581	1.059	1.364	0	24.8125	23.899	22.7476	21.6209	-99.0	20.983
W1m0p3_176166	34.28709237	-3.758690563	3.71081	0.0320261	0	0.6	0.39	0.81	1.091	0	25.3745	23.707	22.127	21.2001	-99.0	20.6278
W1m0p3_176199	34.7931431	-3.757628	3.58282	0.0415731	0	0.85	0.607	1.093	1.0	0	26.8307	25.2465	23.3521	21.9851	-99.0	21.0166
W1m0p3_176455	34.07872902	-3.755987747	3.94484	0.016749	0	0.91	0.659	1.161	1.091	0	26.5073	25.416	23.8076	22.4637	-99.0	21.4654
W1m0p3_176457	34.66485767	-3.757081255	5.08168	0.0264348	0	0.89	0.642	1.16	1.091	0	25.2891	24.2405	22.7057	21.4247	-99.0	20.4684
W1m0p3_176499	34.6319818	-3.756791129	3.70681	0.0484001	0	0.64	0.425	0.855	1.364	0	24.6666	23.5173	22.2315	21.3125	-99.0	20.8302
W1m0p3_176538	34.76026022	-3.756450466	4.2315	0.0717828	0	0.84	0.598	1.082	1.091	0	25.8896	24.5762	23.0324	21.7497	-99.0	20.9221
W1m0p3_176558	34.08573633	-3.755663483	4.09669	0.0179493	0	0.84	0.598	1.082	1.182	0	25.874	24.7631	23.3755	22.0832	-99.0	21.3181
W1m0p3_176571	34.4493354	-3.756901816	4.29505	0.0308044	0	0.82	0.581	1.059	1.0	0	26.3335	24.0402	21.9909	20.6689	-99.0	19.8894
W1m0p3_176612	34.77121717	-3.755582018	3.1911	0.0718713	0	0.75	0.52	0.98	1.091	0	25.6951	24.2672	22.8269	21.4805	-99.0	20.8911
W1m0p3_176828	34.18686815	-3.755455355	3.6709	0.0314023	0	0.45	0.26	0.64	1.091	0	24.6653	22.7104	21.2285	20.5406	-99.0	20.2008
W1m0p3_177015	34.84761876	-3.75283628	3.15855	0.0577595	0	0.36	0.181	0.539	1.273	0	25.3761	23.8876	22.6447	22.1119	-99.0	21.7449
W1m0p3_177144	34.78815018	-3.752725713	3.04267	0.304924	0	0.43	0.242	0.618	1.364	0	23.7262	22.3306	21.0377	20.4389	-99.0	20.0989
W1m0p3_177380	34.07140382	-3.750644786	3.21822	0.0275705	0	0.81	0.572	1.048	1.0	0	99.0	25.8036	23.8694	22.4181	-99.0	21.7222
W1m0p3_177499	34.83316999	-3.750350736	3.0834	0.285859	0	0.77	0.538	1.002	1.455	0	25.6597	24.9554	23.664	22.4814	-99.0	22.1432
W1m0p3_177601	34.9579677	-3.749167513	3.09644	0.0264105	0	0.28	0.112	0.448	1.0	0	26.0515	24.0246	23.01	22.4962	-99.0	22.3219
W1m0p3_178106	34.76244203	-3.747451739	4.12558	0.0292259	0	0.59	0.381	0.799	1.182	0	24.6231	22.9498	21.6053	20.5903	-99.0	20.1405
W1m0p3_178114	34.5310161	-3.746584299	3.63541	0.0306407	0	0.77	0.538	1.002	1.455	0	24.8294	23.7575	22.7833	21.5603	-99.0	21.0093
W1m0p3_178716	34.37604072	-3.743077247	3.10414	0.0667176	0	0.63	0.416	0.844	1.091	0	26.0681	24.2423	22.8044	21.6768	-99.0	21.2198
W1m0p3_179112	34.27755983	-3.740619021	2.83033	0.0787221	0	0.88	0.633	1.19	1.091	0	26.3438	25.3641	23.7478	22.4008	-99.0	21.665
W1m0p3_179353	34.52473788	-3.74008548	4.37926	0.0243906	0	0.79	0.555	1.025	1.0	0	27.1885	25.1149	23.2837	22.0807	-99.0	21.2298
W1m0p3_179426	34.11483682	-3.740434974	4.36019	0.0288735	0	0.31	0.138	0.482	1.455	0	23.2928	22.0115	20.9216	20.4115	-99.0	20.2037
W1m0p3_179796	34.8142582	-3.73835189	4.06406	0.030871	0	0.74	0.512	0.968	1.0	0	27.3204	23.9663	22.1922	20.8105	-99.0	20.2216
W1m0p3_179914	34.27607517	-3.736555004	3.40681	0.0271965	0	0.65	0.433	0.867	1.455	0	25.1409	24.071	22.7989	21.9755	-99.0	21.3917
W1m0p3_179952	34.5019331	-3.736727623	3.53702	0.0337258	0	0.67	0.451	0.889	1.182	0	26.1077	24.7591	23.3363	22.1171	-99.0	21.8069
W1m0p3_180004	34.62447203	-3.73662073	4.15558	0.0157058	0	1.08	0.807	1.353	1.364	0	24.8569	24.6143	23.4535	22.3954	-99.0	21.3138
W1m0p3_180027	34.55432583	-3.735456119	3.58869	0.0244082	0	0.87	0.624	1.116	1.0	0	26.6313	25.7939	23.6391	22.3096	-99.0	21.5401
W1m0p3_180158	34.10221117	-3.734589193	3.30972	0.021265	0	0.79	0.555	1.025	1.182	0	26.3288	25.08	23.6298	22.428	-99.0	21.7656
W1m0p3_180168	34.80543908	-3.734812999	2.95361	0.201943	0	0.79	0.555	1.025	1.091	0	26.5398	25.2313	23.6222	22.1413	-99.0	21.5956
W1m0p3_180267	34.30644259	-3.734326983	3.18008	0.0713201	0	0.82	0.581	1.059	1.091	0	26.5026	25.1133	23.3385	21.9373	-99.0	21.3027
